first_name,last_name,date_of_birth,gender,phone_number,email,course_name,blood_group,cgpa
Michael,Hawkins,1987-09-09,Male,7436659101,michael.hawkins09@gmail.com,QA,B-,6.79
Thomas,Chang,1995-07-12,Male,6897704511,thomas.chang12@gmail.com,QA,,9.39
William,Mejia,1998-06-30,Male,0130989135,william.mejia30@gmail.com,HR,AB+,5.82
Charles,Harris,1973-01-06,Female,0695854477,charles.harris06@gmail.com,Cloud,O-,5.65
Jerry,Peterson,1976-09-23,Male,2490557785,jerry.peterson23@gmail.com,HR,AB+,7.43
Jennifer,Smith,1970-06-29,Male,5366642663,jennifer.smith29@gmail.com,Cloud,B-,5.59
Pamela,Rivera,1981-12-08,Female,7044734690,pamela.rivera08@gmail.com,Cloud,B+,7.34
Sean,Rodriguez,1974-02-19,Female,5629647213,sean.rodriguez19@gmail.com,IT,O+,5.56
Wesley,Medina,1982-10-02,Male,9981014705,wesley.medina02@gmail.com,QA,,9.84
Cristian,Wood,1968-08-27,Male,2331912015,cristian.wood27@gmail.com,Marketing,O-,8.75
 ,Becker,1994-09-23,Male,2299388909,stacy.becker23@gmail.com,IT,B+,8.64
Monica,Robinson,1967-05-13,Female,6492584217,monica.robinson13@gmail.com,HR,B-,8.31
Yolanda,Burns,1999-05-02,Male,6581072069,yolanda.burns02@gmail.com,HR,B-,9.98
Michelle,Jackson,1993-07-01,Female,452153,michelle.jackson01@gmail.com,QA,B-,9.77
Morgan,Summers,1975-05-31,Male,7086819213,morgan.summers31@gmail.com,HR,B-,6.71
Louis,Castro,1981-05-29,Male,6854766260,louis.castro29@gmail.com,AI,AB+,4.08
Kathy,Poole,1996-04-30,Female,6285689050,kathy.poole30@gmail.com,Marketing,AB+,5.75
Edwin,Chavez,1997-01-23,Female,8643670839,edwin.chavez23@gmail.com,IT,O-,8.91
Maria,Martinez,1976-06-24,Male,3436804983,maria.martinez24@gmail.com,Marketing,A-,6.59
Tonya,Burke,1980-10-25,Male,3006893167,tonya.burke25@gmail.com,AI,AB+,7.09
Walter,Castillo,2003-08-04,Female,54679931,walter.castillo04@gmail.com,IT,O+,6.96
Joshua,Tran,1999-11-06,Female,4369320546,Joshuagmail.com,AI,O+,7.51
Carrie,Clark,1993-12-13,Male,5043005938,carrie.clark13@gmail.com,QA,O+,1.05
Diana,Ross,1992-10-27,Male,3816284364,diana.ross27@gmail.com,HR,O+,5.25
Shannon,Mclaughlin,1966-07-15,Female,2307350251,shannon.mclaughlin15@gmail.com,IT,O+,9.81
Jenny,Santiago,1997-09-18,Male,5123772370,jenny.santiago18@gmail.com,QA,A-,8.68
Michelle,Wilson,1978-04-29,Male,7758827372,michelle.wilson29@gmail.com,AI,AB-,9.16
Zachary,Alexander,1965-05-20,Female,2803187976,zachary.alexander20@gmail.com,AI,A+,6.38
Madison,Harris,1967-01-27,Male,0412199244,madison.harris27@gmail.com,AI,O+,7.59
